A -- B -- C -- D -- E 
77 - 33 - 65 - 77 - 93
34 - 64 - 70 - 2 - 44
59 - 32 - 33 - 72 - 77
17 - 86 - 81 - 1 - 77
39 - 76 - 81 - 67 - 75
73 - 22 - 95 - 5 - 29
0 - 43 - 44 - 16 - 86
18 - 52 - 28 - 96 - 17
35 - 92 - 37 - 55 - 91
24 - 79 - 6 - 25 - 88
29 - 37 - 81 - 44 - 68
69 - 13 - 21 - 47 - 87
95 - 47 - 43 - 20 - 34
56 - 77 - 41 - 85 - 37
20 - 47 - 9 - 25 - 91
2 - 12 - 53 - 9 - 21
4 - 54 - 48 - 11 - 46
28 - 84 - 67 - 25 - 59
74 - 21 - 45 - 8 - 81
50 - 32 - 62 - 31 - 14
83 - 56 - 42 - 2 - 35
56 - 69 - 56 - 44 - 85
37 - 57 - 58 - 71 - 15
87 - 33 - 36 - 41 - 36
69 - 27 - 6 - 72 - 40
81 - 88 - 26 - 99 - 97
17 - 35 - 66 - 2 - 11
81 - 3 - 57 - 1 - 80
59 - 92 - 56 - 72 - 56
65 - 66 - 96 - 10 - 13
75 - 79 - 48 - 46 - 27
97 - 25 - 39 - 0 - 11
9 - 48 - 3 - 13 - 93
37 - 13 - 78 - 85 - 27
36 - 34 - 18 - 49 - 20
64 - 39 - 64 - 34 - 50
92 - 79 - 46 - 55 - 36
44 - 39 - 85 - 10 - 75
57 - 80 - 80 - 23 - 18
35 - 80 - 57 - 63 - 22
45 - 45 - 87 - 14 - 2
84 - 6 - 9 - 38 - 96
28 - 91 - 6 - 18 - 68
23 - 31 - 36 - 74 - 72
54 - 67 - 76 - 44 - 0
41 - 5 - 76 - 59 - 34
63 - 96 - 84 - 31 - 28
60 - 90 - 97 - 93 - 83
39 - 51 - 71 - 99 - 92
24 - 10 - 52 - 53 - 46
89 - 21 - 38 - 2 - 76
46 - 94 - 10 - 0 - 49
91 - 92 - 89 - 29 - 32
58 - 80 - 25 - 72 - 2
48 - 9 - 88 - 49 - 97
15 - 77 - 28 - 60 - 69
60 - 55 - 86 - 28 - 22
14 - 76 - 79 - 24 - 77
31 - 28 - 38 - 62 - 2
16 - 95 - 41 - 32 - 23
32 - 22 - 82 - 10 - 11
86 - 1 - 94 - 85 - 99
18 - 57 - 28 - 65 - 57
72 - 65 - 98 - 64 - 52
75 - 58 - 73 - 62 - 56
0 - 1 - 28 - 7 - 69
36 - 13 - 43 - 18 - 93
0 - 76 - 97 - 54 - 59
53 - 25 - 27 - 88 - 19
76 - 62 - 10 - 4 - 53
12 - 35 - 97 - 32 - 87
30 - 50 - 94 - 48 - 71
58 - 59 - 78 - 46 - 75
78 - 88 - 53 - 38 - 71
55 - 1 - 36 - 33 - 97
43 - 23 - 36 - 67 - 37
89 - 3 - 55 - 56 - 79
47 - 47 - 47 - 80 - 37
84 - 6 - 81 - 93 - 72
38 - 64 - 62 - 44 - 28
64 - 60 - 66 - 62 - 91
46 - 74 - 90 - 15 - 53
85 - 15 - 36 - 59 - 60
16 - 28 - 2 - 9 - 53
63 - 40 - 84 - 79 - 58
68 - 71 - 17 - 92 - 15
27 - 12 - 91 - 31 - 33
53 - 26 - 93 - 16 - 74
82 - 75 - 16 - 74 - 86
21 - 66 - 37 - 53 - 44
99 - 2 - 98 - 38 - 70
21 - 44 - 53 - 38 - 11
66 - 80 - 36 - 33 - 71
30 - 40 - 28 - 66 - 5
31 - 62 - 90 - 11 - 98
32 - 0 - 13 - 67 - 67
9 - 70 - 3 - 6 - 24
32 - 87 - 83 - 6 - 91
39 - 50 - 4 - 60 - 49
66 - 96 - 23 - 19 - 40
99 - 4 - 65 - 21 - 87
8 - 45 - 54 - 72 - 12
84 - 14 - 80 - 22 - 94
91 - 29 - 30 - 78 - 96
81 - 29 - 23 - 32 - 56
2 - 3 - 2 - 5 - 59
1 - 86 - 84 - 47 - 84
62 - 54 - 18 - 25 - 93
95 - 44 - 94 - 75 - 76
24 - 80 - 39 - 85 - 14
69 - 15 - 58 - 39 - 4
77 - 18 - 46 - 60 - 19
49 - 66 - 30 - 19 - 23
63 - 32 - 33 - 66 - 65
31 - 22 - 41 - 57 - 28
45 - 21 - 3 - 8 - 37
85 - 53 - 45 - 64 - 78
49 - 71 - 58 - 60 - 42
29 - 37 - 59 - 54 - 79
73 - 47 - 43 - 78 - 6
60 - 83 - 24 - 52 - 58
35 - 59 - 13 - 78 - 49
30 - 84 - 46 - 3 - 74
96 - 19 - 21 - 13 - 69
12 - 20 - 80 - 56 - 37
5 - 54 - 17 - 37 - 46
93 - 3 - 39 - 63 - 75
11 - 45 - 93 - 47 - 24
60 - 96 - 19 - 12 - 33
86 - 40 - 20 - 28 - 62
95 - 38 - 88 - 53 - 79
70 - 31 - 69 - 18 - 46
54 - 39 - 42 - 1 - 37
77 - 55 - 9 - 58 - 6
97 - 72 - 95 - 7 - 97
50 - 58 - 71 - 93 - 43
45 - 10 - 98 - 30 - 59
30 - 77 - 85 - 56 - 25
92 - 11 - 62 - 42 - 23
44 - 43 - 31 - 69 - 96
42 - 60 - 13 - 83 - 35
74 - 56 - 12 - 65 - 27
70 - 27 - 65 - 62 - 57
53 - 19 - 22 - 22 - 12
72 - 77 - 74 - 61 - 4
97 - 78 - 94 - 11 - 14
12 - 27 - 80 - 17 - 90
91 - 52 - 8 - 35 - 17
59 - 51 - 65 - 6 - 9
19 - 68 - 38 - 2 - 5
60 - 78 - 94 - 28 - 57
6 - 41 - 65 - 38 - 46
93 - 32 - 41 - 99 - 81
34 - 85 - 1 - 5 - 7
81 - 24 - 68 - 41 - 59
25 - 88 - 89 - 62 - 32
50 - 10 - 21 - 18 - 58
24 - 1 - 64 - 13 - 8
75 - 62 - 36 - 55 - 4
50 - 90 - 85 - 82 - 49
99 - 32 - 0 - 96 - 27
59 - 77 - 40 - 2 - 38
66 - 41 - 85 - 17 - 15
5 - 2 - 9 - 87 - 39
90 - 87 - 29 - 8 - 62
54 - 78 - 19 - 71 - 58
74 - 63 - 12 - 98 - 40
25 - 1 - 72 - 99 - 33
23 - 66 - 67 - 13 - 14
70 - 10 - 94 - 40 - 68
55 - 61 - 23 - 92 - 87
84 - 52 - 51 - 76 - 85
44 - 18 - 24 - 14 - 74
21 - 48 - 20 - 58 - 31
5 - 92 - 17 - 92 - 73
75 - 61 - 64 - 87 - 17
55 - 78 - 54 - 4 - 34
57 - 2 - 50 - 54 - 36
85 - 48 - 3 - 75 - 48
5 - 75 - 24 - 88 - 10
77 - 79 - 66 - 57 - 49
5 - 83 - 40 - 6 - 98
36 - 36 - 30 - 65 - 76
78 - 98 - 29 - 99 - 86
28 - 34 - 0 - 30 - 19
94 - 67 - 17 - 65 - 86
34 - 23 - 18 - 4 - 33
10 - 46 - 98 - 56 - 90
34 - 18 - 88 - 63 - 88
69 - 75 - 20 - 20 - 38
56 - 56 - 17 - 93 - 78
72 - 32 - 30 - 36 - 67
13 - 38 - 40 - 58 - 29
14 - 14 - 59 - 6 - 7
70 - 24 - 19 - 5 - 85
73 - 69 - 56 - 63 - 63
66 - 43 - 20 - 91 - 22
88 - 47 - 45 - 39 - 23
72 - 62 - 47 - 57 - 87
53 - 34 - 4 - 93 - 70
25 - 1 - 13 - 70 - 29
92 - 59 - 35 - 35 - 28
25 - 59 - 41 - 9 - 71
10 - 79 - 27 - 56 - 12
13 - 20 - 88 - 50 - 87
70 - 97 - 9 - 5 - 29
42 - 12 - 81 - 29 - 82
66 - 2 - 31 - 88 - 57
77 - 73 - 13 - 65 - 10
54 - 39 - 65 - 14 - 19
29 - 53 - 68 - 72 - 54
56 - 76 - 60 - 30 - 67
76 - 50 - 18 - 58 - 4
43 - 35 - 10 - 17 - 1
64 - 55 - 29 - 68 - 38
62 - 22 - 16 - 89 - 57
93 - 93 - 96 - 55 - 23
58 - 75 - 27 - 23 - 1
81 - 58 - 98 - 39 - 16
29 - 7 - 75 - 37 - 36
89 - 10 - 30 - 72 - 51
1 - 47 - 94 - 33 - 11
3 - 74 - 52 - 43 - 36
73 - 48 - 48 - 53 - 33
